title,date,subject,gilligan_related,url,author,section,subject_type,notes
,2020-01-07T15:11:15+00:00,,review,https://www.slashfilm.com/571466/2020-bafta-nominations/,,,,Automated collection; review subject and Gilligan flag manually.
Kevin Smith Talks The DNA Of,2020-01-07T15:30:40+00:00,,review,https://www.slashfilm.com/571467/kevin-smith-talks-mallrats-2/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T16:30:55+00:00,,review,https://www.slashfilm.com/571470/no-time-to-die-composer-hans-zimmer/,,,,Automated collection; review subject and Gilligan flag manually.
Chris Evangelista,2020-01-07T17:00:45+00:00,,review,https://www.slashfilm.com/571427/chris-evangelistas-top-10-movies-of-2019/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T17:41:30+00:00,,review,https://www.slashfilm.com/571477/amazons-lord-of-the-ring-tv-series-cast-robert-aramayo/,,,,Automated collection; review subject and Gilligan flag manually.
The Shocking Ending Of,2020-01-07T18:00:12+00:00,,review,https://www.slashfilm.com/571473/the-boy-ending-mask/,,,,Automated collection; review subject and Gilligan flag manually.
/Filmcast Ep. 549 - The Top 10 Films Of 2019 - SlashFilm,2020-01-07T18:00:24+00:00,,review,https://www.slashfilm.com/571457/filmcast-ep-549-the-top-10-films-of-2019/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T18:30:37+00:00,,review,https://www.slashfilm.com/571468/star-wars-the-rise-of-skywalker-reshoots-details/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T19:00:22+00:00,,review,https://www.slashfilm.com/571479/timmy-failure-mistakes-were-made-trailer/,,,,Automated collection; review subject and Gilligan flag manually.
"2020 Directors Guild Awards Nominees: Tarantino, Scorsese, Bong Joon-Ho, And More (But No Greta Gerwig) - SlashFilm",2020-01-07T19:30:56+00:00,,review,https://www.slashfilm.com/571482/2020-directors-guild-awards-nominees/,,,,Automated collection; review subject and Gilligan flag manually.
