title,date,subject,gilligan_related,url,author,section,subject_type,notes
Gilligan's Island Star Alan Hale Jr. Played A Real-Life Outlaw In This 1957 Western,2026-06-30T14:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2204508/gilligans-island-alan-hale-jr-real-life-outlaw-1957-western-the-true-story-of-jesse-james/,,,,Gilligan-related; manual review required
Alan Hale Jr. Played Villains On This Western Series Until A Tragedy Turned Him Into A Hero - SlashFilm,2026-07-05T15:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2207432/alan-hale-jr-villain-western-series-the-gene-autry-show/,,,,Gilligan-related; manual review required
"5 Best Alan Hale Jr. Movies & TV Shows, Ranked",2026-07-05T17:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2206424/best-alan-hale-jr-movies-tv-shows-ranked/,,,,Gilligan-related; manual review required
Frank Sinatra And Gilligan's Island Star Alan Hale Jr. Crossed Paths In This '50s Movie,2026-07-06T21:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2209106/frank-sinatra-gilligans-island-alan-hale-jr-movie-young-at-heart/,,,,Gilligan-related; manual review required
"Every Gilligan's Island TV Movie, Ranked",2026-07-11T15:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2211169/gilligans-island-tv-movies-ranked/,,,,Gilligan-related; manual review required
"Before Gilligan's Island, Alan Hale Jr. Appeared In A Forgotten John Wayne Flop",2026-07-11T20:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2177279/gilligans-island-alan-hale-jr-john-wayne-flop-the-sea-chase/,,,,Gilligan-related; manual review required
One Of Gilligan's Island's Best Guest Stars Was Played By This Legendary Western Actor,2026-07-18T13:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2215993/gilligans-island-guest-star-legendary-western-actor-strother-martin/,,,,Gilligan-related; manual review required
Russell Johnson's Favorite Gilligan's Island Episodes All Feature The Same Thing,2026-07-19T14:00:00+00:00,Russell Johnson,yes,https://www.slashfilm.com/2215512/russell-johnson-favorite-gilligans-island-episodes-dream-sequences/,,,,Gilligan-related; manual review required
Alan Hale Jr. Starred Opposite A Screen Legend In An Underrated Western Series - SlashFilm,2026-07-26T21:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2212503/alan-hale-jr-steve-mcqueen-western-series-wanted-dead-or-alive/,,,,Gilligan-related; manual review required
Alan Hale Jr.'s Sci-Fi Horror Movie Streaming On Tubi Is A Fun '60s Throwback,2026-07-28T18:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2224753/alan-hale-jr-sci-fi-horror-movie-the-crawling-hand-streaming-tubi/,,,,Gilligan-related; manual review required
Alan Hale Jr. Played Two Different Roles On The Hit ABC Sitcom The Love Boat - SlashFilm,2026-08-02T18:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2227873/alan-hale-jr-different-roles-abc-sitcom-the-love-boat/,,,,Gilligan-related; manual review required
